着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,10,インウィクトス,牡2,55,マーフィ,1:12.3,,3.0,1,450(+6),[東] 小桧山悟
2,3,5,グレートコート,牡2,52,小林凌大,1:12.6,1.3/4,3.9,2,470(+4),[東] 大江原哲
3,2,4,ピノッキオ,牡2,55,北村宏司,1:13.2,4,14.0,5,518(+4),[東] 岩戸孝樹
4,1,2,エストラード,牡2,55,江田照男,1:13.2,ハナ,5.6,3,462(0),[東] 武市康男
5,8,16,ルヴァンヴェール,牡2,55,三浦皇成,1:13.5,2,5.9,4,486(+4),[東] 竹内正洋
6,4,7,ペイシャハミング,牝2,54,横山和生,1:13.6,1/2,27.2,8,436(-2),[東] 石栗龍彦
7,4,8,タイセイプルミエ,牝2,54,柴山雄一,1:14.0,2.1/2,23.9,7,468(-2),[東] 青木孝文
8,1,1,ルートサブロク,牡2,55,岩部純二,1:14.0,アタマ,561.7,15,476(-4),[東] 高市圭二
9,6,11,サイモンサンバ,牝2,53,野中悠太,1:14.1,1/2,154.4,12,468(0),[東] 根本康広
10,6,12,マイネルリベラル,牡2,55,柴田大知,1:14.3,1.1/4,17.0,6,448(-2),[東] 高橋祥泰
11,7,14,クラウンコジーン,牡2,55,石川裕紀,1:14.4,1/2,147.7,11,444(+2),[東] 蛯名利弘
12,2,3,グランドホース,牡2,55,宮崎北斗,1:14.5,クビ,422.9,14,484(0),[東] 伊藤伸一
13,7,13,ヴァンタンジェンヌ,牝2,52,木幡育也,1:14.7,1.1/4,716.1,16,396(0),[東] 柄崎孝
14,3,6,オーヴァル,牡2,55,松岡正海,1:14.9,1,123.9,10,490(0),[東] 古賀史生
15,5,9,ムラサメ,セ2,52,菅原明良,1:15.7,5,34.6,9,458(-2),[東] 伊藤圭三
16,8,15,デンタルウイッシュ,牝2,54,内田博幸,1:15.7,クビ,336.2,13,422(-2),[東] 浅野洋一
