着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,6,カッチョエペペ,牝3,53,木幡巧也,1:12.8,,3.5,1,436(-4),[東] 牧光二
2,2,4,スマートエリス,牝3,54,川田将雅,1:12.8,クビ,5.8,2,482(-2),[東] 尾関知人
3,1,2,ショウナンカンザシ,牝3,54,田辺裕信,1:12.8,ハナ,10.9,6,450(-4),[東] 大竹正博
4,7,14,ナイスプリンセス,牝3,54,武士沢友,1:13.0,1.1/4,6.7,3,452(-10),[東] 石栗龍彦
5,6,11,リワードノルン,牝3,54,丸山元気,1:13.2,1.1/4,20.3,10,462(-4),[東] 藤原辰雄
6,8,15,サンダミアーノ,牝3,54,石橋脩,1:13.2,ハナ,13.6,8,440(0),[東] 竹内正洋
7,4,7,トミケンボイジフ,牝3,54,三浦皇成,1:13.5,1.3/4,6.7,4,410(-8),[東] 大和田成
8,5,10,ミニオンペール,牝3,54,丹内祐次,1:13.7,1.1/4,10.0,5,454(-10),[東] 清水英克
9,1,1,ペイシャコリンナ,牝3,54,横山和生,1:13.9,1.1/4,32.8,11,470(0),[東] 土田稔
10,6,12,セイスピカ,牝3,54,和田竜二,1:13.9,ハナ,12.8,7,440(+2),[東] 中川公成
11,2,3,カネショウベリー,牝3,54,ミナリク,1:14.1,1,18.9,9,438(+4),[東] 古賀史生
12,7,13,アキノフラッシュ,牝3,52,菊沢一樹,1:14.9,5,151.7,12,474(+4),[東] 田中剛
13,4,8,トゥモロープラン,牝3,54,木幡初也,1:15.3,2.1/2,207.6,14,414(0),[東] 矢野英一
14,8,16,シャイナ,牝3,54,宮崎北斗,1:15.9,3.1/2,231.4,16,440(-20),[東] 青木孝文
15,5,9,サンテレホート,牝3,54,松岡正海,1:17.4,9,196.3,13,474(0),[東] 的場均
16,3,5,シゲルルビー,牝3,51,菅原明良,1:17.6,1,222.3,15,472(+12),[東] 伊藤圭三
